model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,0,5,5,6,7,8,0,9	0.000111111	0.927889	6e-06	18.5205
0,1,2,3,4,5,2,2,6,7,8,5,3	0.000111111	0.928	<1e-06	>111.123
0,1,2,3,4,5,2,2,6,7,8,4,5	0.000111111	0.928111	1e-06	111.123
0,1,2,3,4,0,5,5,6,7,8,4,4	0.000111111	0.928222	<1e-06	>111.123
0,1,2,3,4,5,2,2,6,7,3,5,0	0.000111111	0.928333	<1e-06	>111.123
0,1,2,3,4,5,2,2,6,7,3,0,4	0.000111111	0.928444	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,2,9,3	0.000111111	0.928556	1.3e-05	8.54785
0,1,2,3,4,0,5,2,6,7,2,0,3	0.000111111	0.928667	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,9,5,10	0.000111111	0.928778	7.8e-05	1.42455
0,1,2,3,4,0,5,2,6,7,2,4,0	0.000111111	0.928889	<1e-06	>111.123
0,1,2,3,4,0,5,2,6,7,2,8,4	0.000111111	0.929	<1e-06	>111.123
0,1,2,3,4,0,5,2,6,7,3,0,4	0.000111111	0.929111	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,9,4,3	0.000111111	0.929222	5e-06	22.2246
0,1,2,3,4,0,5,2,6,7,4,0,0	0.000111111	0.929333	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,6,5,9	0.000111111	0.929444	2e-06	55.5616
0,1,2,3,4,5,2,6,7,8,6,5,5	0.000111111	0.929556	2e-06	55.5616
0,1,2,3,4,0,5,2,6,7,5,4,4	0.000111111	0.929667	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,6,0,0	0.000111111	0.929778	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,3,9,5	0.000111111	0.929889	2e-06	55.5616
0,1,2,3,4,5,2,6,7,8,3,5,0	0.000111111	0.93	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,3,0,5	0.000111111	0.930111	<1e-06	>111.123
0,1,2,3,4,5,6,3,7,8,3,5,4	0.000111111	0.930222	<1e-06	>111.123
0,1,2,3,4,0,5,2,6,7,8,4,0	0.000111111	0.930333	<1e-06	>111.123
0,1,2,3,4,0,5,2,6,7,8,4,9	0.000111111	0.930444	3e-06	37.041
0,1,2,3,4,0,5,5,1,1,2,4,4	0.000111111	0.930556	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,2,5,9	0.000111111	0.930667	5e-06	22.2246
0,1,2,3,4,0,5,5,1,6,2,7,0	0.000111111	0.930778	<1e-06	>111.123
0,1,2,3,4,0,5,5,1,6,2,7,4	0.000111111	0.930889	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,2,5,0	0.000111111	0.931	<1e-06	>111.123
0,1,2,3,4,0,5,5,1,6,3,0,7	0.000111111	0.931111	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,2,0,0	0.000111111	0.931222	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,7,6,5,4	0.000111111	0.931333	<1e-06	>111.123
0,1,2,3,4,5,2,6,1,7,8,9,3	0.000111111	0.931444	1e-06	111.123
0,1,2,3,4,0,5,5,1,6,5,4,0	0.000111111	0.931556	<1e-06	>111.123
0,1,2,3,4,5,2,6,1,7,8,5,4	0.000111111	0.931667	<1e-06	>111.123
0,1,2,0,3,4,5,2,1,6,2,4,0	0.000111111	0.931778	<1e-06	>111.123
0,1,2,0,3,4,5,5,1,6,7,4,8	0.000111111	0.931889	1e-06	111.123
0,1,2,0,3,4,5,5,1,6,7,4,4	0.000111111	0.932	<1e-06	>111.123
0,1,2,0,3,4,5,5,1,6,7,3,3	0.000111111	0.932111	<1e-06	>111.123
0,1,2,0,3,4,5,5,1,6,5,4,4	0.000111111	0.932222	<1e-06	>111.123
0,1,2,0,3,4,5,5,1,6,2,4,3	0.000111111	0.932333	<1e-06	>111.123
0,1,2,0,3,4,5,2,6,7,2,4,0	0.000111111	0.932444	<1e-06	>111.123
0,1,2,0,3,4,5,2,6,7,2,3,4	0.000111111	0.932556	<1e-06	>111.123
0,1,2,0,3,4,5,2,1,6,7,8,3	0.000111111	0.932667	<1e-06	>111.123
0,1,2,0,3,4,5,2,1,6,2,7,3	0.000111111	0.932778	<1e-06	>111.123
0,1,2,0,3,4,5,5,6,6,2,4,3	0.000111111	0.932889	<1e-06	>111.123
0,1,2,0,3,4,5,2,1,6,2,3,3	0.000111111	0.933	<1e-06	>111.123
0,1,2,0,3,4,2,5,6,7,8,9,3	0.000111111	0.933111	1e-06	111.123
0,1,2,0,3,4,2,5,6,7,8,4,4	0.000111111	0.933222	<1e-06	>111.123
0,1,2,0,3,4,2,5,6,7,5,4,8	0.000111111	0.933333	1e-06	111.123
0,1,2,0,3,4,2,5,6,7,5,4,4	0.000111111	0.933444	1e-06	111.123
0,1,2,0,3,4,2,5,6,7,5,4,3	0.000111111	0.933556	<1e-06	>111.123
0,1,2,0,3,4,2,5,6,7,5,4,0	0.000111111	0.933667	<1e-06	>111.123
0,1,2,0,3,4,2,5,6,7,2,4,4	0.000111111	0.933778	<1e-06	>111.123
0,1,2,0,3,4,2,5,6,7,2,4,0	0.000111111	0.933889	<1e-06	>111.123
0,1,2,0,3,4,5,6,7,8,2,4,0	0.000111111	0.934	<1e-06	>111.123
0,1,2,0,3,4,5,6,7,8,6,4,4	0.000111111	0.934111	<1e-06	>111.123
0,1,2,0,3,4,5,6,7,8,5,4,0	0.000111111	0.934222	<1e-06	>111.123
0,1,2,0,3,4,5,6,7,8,5,3,0	0.000111111	0.934333	<1e-06	>111.123
0,1,2,0,3,4,5,6,7,8,2,9,9	0.000111111	0.934444	4e-06	27.7808
0,1,2,0,3,4,5,6,7,8,2,9,4	0.000111111	0.934556	2e-06	55.5616
0,1,2,0,3,4,5,6,7,8,2,9,3	0.000111111	0.934667	3e-06	37.041
0,1,2,0,3,4,5,6,7,8,2,9,0	0.000111111	0.934778	6e-06	18.5205
0,1,2,0,3,4,5,6,7,8,2,4,9	0.000111111	0.934889	1e-06	111.123
0,1,2,0,3,4,5,6,7,8,2,4,4	0.000111111	0.935	<1e-06	>111.123
0,1,2,0,3,4,2,5,6,6,2,4,4	0.000111111	0.935111	<1e-06	>111.123
0,1,2,0,3,4,5,6,7,8,2,3,3	0.000111111	0.935222	<1e-06	>111.123
0,1,2,0,3,4,5,6,1,7,8,4,9	0.000111111	0.935333	3e-06	37.041
0,1,2,0,3,4,5,6,1,7,8,4,4	0.000111111	0.935444	<1e-06	>111.123
0,1,2,0,3,4,5,6,1,7,2,3,0	0.000111111	0.935556	<1e-06	>111.123
0,1,2,0,3,4,5,5,6,7,8,3,3	0.000111111	0.935667	<1e-06	>111.123
0,1,2,0,3,4,5,5,6,7,5,3,3	0.000111111	0.935778	<1e-06	>111.123
0,1,2,0,3,4,5,5,6,7,2,8,9	0.000111111	0.935889	2e-06	55.5616
0,1,2,0,3,4,5,5,6,7,2,0,0	0.000111111	0.936	<1e-06	>111.123
0,1,2,0,3,3,4,5,1,6,5,7,3	0.000111111	0.936111	<1e-06	>111.123
