model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,0,3,1,1,0,0,4,0,1,5,1,1,6,6,6,6,1,7,1	0.000333333	0.111667	<1e-06	>333.444
0,1,0,0,2,1,1,3,0,1,0,1,4,1,1,5,5,5,5,1,2,1	0.000333333	0.112	<1e-06	>333.444
0,1,0,0,2,3,1,0,0,1,0,1,4,1,3,5,5,5,5,3,6,1	0.000333333	0.112333	<1e-06	>333.444
0,1,2,0,3,1,1,2,0,1,2,1,4,1,1,5,5,5,5,1,6,1	0.000333333	0.112667	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,4,4,4,1,5,6	0.000333333	0.113	<1e-06	>333.444
0,1,0,0,2,3,1,0,0,1,0,1,4,1,3,5,5,5,5,1,2,1	0.000333333	0.113333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,4,1,5,1,1,0,6,6,6,1,3,1	0.000333333	0.113667	<1e-06	>333.444
0,1,0,0,2,3,1,4,0,5,4,1,5,1,3,6,6,6,6,1,7,1	0.000333333	0.114	<1e-06	>333.444
0,1,0,0,2,3,1,0,0,4,0,1,4,1,3,5,5,5,5,1,4,1	0.000333333	0.114333	<1e-06	>333.444
0,1,0,0,2,1,1,0,3,4,5,1,6,1,1,0,7,7,7,1,8,1	0.000333333	0.114667	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,5,5,5,1,4,3	0.000333333	0.115	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,4,1,5,1,1,6,7,7,7,1,8,1	0.000333333	0.115333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,1,3,1,4,1,1,5,5,5,5,6,7,1	0.000333333	0.115667	<1e-06	>333.444
0,1,0,0,2,1,1,0,3,1,0,1,4,1,1,5,5,5,5,1,6,1	0.000333333	0.116	<1e-06	>333.444
0,1,0,0,2,1,1,0,3,1,0,1,4,1,1,5,5,5,5,1,4,1	0.000333333	0.116333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,0,5,5,5,1,2,1	0.000333333	0.116667	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,5,5,5,6,7,1	0.000333333	0.117	<1e-06	>333.444
0,1,2,2,3,1,1,2,2,1,2,1,4,1,1,5,6,6,6,1,7,1	0.000333333	0.117333	<1e-06	>333.444
0,1,0,0,2,1,1,3,0,4,5,1,4,1,1,6,6,6,6,1,4,1	0.000333333	0.117667	<1e-06	>333.444
0,1,2,2,3,1,1,2,2,4,2,1,5,1,1,6,6,6,6,1,7,1	0.000333333	0.118	<1e-06	>333.444
0,1,0,0,2,1,3,0,0,1,0,1,4,1,1,5,5,5,5,1,4,1	0.000333333	0.118333	<1e-06	>333.444
0,1,2,0,3,1,1,0,0,4,5,1,6,1,1,7,7,7,7,1,8,1	0.000333333	0.118667	<1e-06	>333.444
0,1,2,2,3,1,1,2,2,1,2,1,4,1,1,5,5,5,5,1,6,1	0.000333333	0.119	<1e-06	>333.444
0,1,0,0,2,3,1,0,0,1,3,1,4,1,1,5,5,5,5,1,4,1	0.000333333	0.119333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,1,1,4,1,1,5,6,6,6,1,4,1	0.000333333	0.119667	<1e-06	>333.444
